node1,node2
potentially,high
potentially,cost
potentially,reconfigure
potentially,street
potentially,around
high,cost
high,reconfigure
high,street
high,around
cost,reconfigure
cost,street
cost,around
reconfigure,street
reconfigure,around
street,around
around,small
small,price
small,city
small,pay
small,give
small,opportunity
price,city
price,pay
price,give
price,opportunity
price,project
city,pay
city,give
city,opportunity
city,project
city,represent
pay,give
pay,opportunity
pay,project
pay,represent
give,opportunity
give,project
give,represent
opportunity,project
opportunity,represent
project,represent
project,whole
represent,whole
whole,say
unveil,plan
unveil,possibly
unveil,add
unveil,lane
plan,possibly
plan,add
plan,lane
possibly,add
possibly,lane
add,lane
add,near
lane,near
near,site
near,library
near,two
site,library
site,two
site,extra
site,lane
site,part
library,two
library,extra
library,lane
library,part
two,extra
two,lane
two,part
extra,lane
extra,part
lane,part
lane,bid
part,bid
part,offset
bid,offset
bid,traffic
bid,problem
bid,propose
bid,closure
offset,traffic
offset,problem
offset,propose
offset,closure
traffic,problem
traffic,propose
traffic,closure
problem,propose
problem,closure
problem,nearby
propose,closure
propose,nearby
closure,nearby
closure,decline
nearby,decline
nearby,say
nearby,tab
nearby,might
decline,say
decline,tab
decline,might
decline,work
decline,call
say,tab
say,might
say,work
say,call
tab,might
tab,work
tab,call
tab,concentrate
might,work
might,call
might,concentrate
might,big
work,call
work,concentrate
work,big
work,picture
call,concentrate
call,big
call,picture
call,remember
concentrate,big
concentrate,picture
concentrate,remember
concentrate,tremendous
concentrate,economic
big,picture
big,remember
big,tremendous
big,economic
big,educational
picture,remember
picture,tremendous
picture,economic
picture,educational
picture,cultural
remember,tremendous
remember,economic
remember,educational
remember,cultural
remember,investment
tremendous,economic
tremendous,educational
tremendous,cultural
tremendous,investment
tremendous,opportunity
economic,educational
economic,cultural
economic,investment
economic,opportunity
economic,will
educational,cultural
educational,investment
educational,opportunity
educational,will
educational,mean
cultural,investment
cultural,opportunity
cultural,will
cultural,mean
cultural,just
investment,opportunity
investment,will
investment,mean
investment,just
investment,entire
opportunity,will
opportunity,mean
opportunity,just
opportunity,entire
opportunity,city
will,mean
will,just
will,entire
will,city
will,also
mean,just
mean,entire
mean,city
mean,also
just,entire
just,city
just,also
just,side
entire,city
entire,also
entire,side
entire,city
city,also
city,side
city,city
also,side
also,city
also,specific
side,city
side,specific
side,say
city,specific
city,say
specific,say
specific,talk
specific,correctly
say,talk
say,correctly
say,roadway
talk,correctly
talk,roadway
talk,versus
talk,expansion
talk,roadway
correctly,roadway
correctly,versus
correctly,expansion
correctly,roadway
correctly,park
roadway,versus
roadway,expansion
roadway,roadway
roadway,park
roadway,plan
versus,expansion
versus,roadway
versus,park
versus,plan
versus,versus
expansion,roadway
expansion,park
expansion,plan
expansion,versus
expansion,park
roadway,park
roadway,plan
roadway,versus
roadway,park
roadway,plan
park,plan
park,versus
park,park
park,plan
park,everybody
plan,versus
plan,park
plan,plan
plan,everybody
plan,mayor
versus,park
versus,plan
versus,everybody
versus,mayor
versus,keep
park,plan
park,everybody
park,mayor
park,keep
park,eye
plan,everybody
plan,mayor
plan,keep
plan,eye
plan,prize
everybody,mayor
everybody,keep
everybody,eye
everybody,prize
mayor,keep
mayor,eye
mayor,prize
mayor,always
keep,eye
keep,prize
keep,always
keep,like
eye,prize
eye,always
eye,like
eye,say
prize,always
prize,like
prize,say
prize,quote
always,like
always,say
always,quote
always,somebody
always,famous
like,say
like,quote
like,somebody
like,famous
like,yes
say,quote
say,somebody
say,famous
say,yes
say,mayor
quote,somebody
quote,famous
quote,yes
quote,mayor
quote,say
somebody,famous
somebody,yes
somebody,mayor
somebody,say
somebody,refer
famous,yes
famous,mayor
famous,say
famous,refer
yes,mayor
yes,say
yes,refer
yes,campaign
mayor,say
mayor,refer
mayor,campaign
mayor,slogan
say,refer
say,campaign
say,slogan
refer,campaign
refer,slogan
refer,defend
campaign,slogan
campaign,defend
slogan,defend
defend,proposal
defend,pay
proposal,pay
proposal,construction
proposal,two
proposal,level
proposal,parking
pay,construction
pay,two
pay,level
pay,parking
pay,garage
construction,two
construction,level
construction,parking
construction,garage
construction,part
two,level
two,parking
two,garage
two,part
level,parking
